IATA,Latitude,Longitude
BGM,35.25957307589074,-80.89573737176686
PWM,43.888778463576216,-76.79114417690909
OXR,30.71995413729056,-108.0779256457216
AVP,26.924497745719826,-114.35362737321663
HPN,32.2437863228442,-79.9631149015485
FNT,29.03053218135011,-76.58991564396416
GSO,48.242441308564324,-65.5696914799596
CAE,45.20300948911043,-100.24293938531441
SBP,40.835093912760584,-102.67891485243301
CHS,46.786514754692945,-78.41522235548018
BTR,45.09180192247786,-104.55178758481892
BHM,29.664251472150895,-69.15456046378611
LYH,47.313974962249446,-73.4952348894193
BTM,38.48355604789127,-99.2603583574989
DAY,45.18600387910156,-79.94773593251016
AVL,47.40228249808733,-79.72742755491906
CWA,32.950086874296595,-118.81256786984405
MIA,27.75129811319192,-70.84682559922601
TLH,30.698379063548543,-94.68485765312857
LIT,35.67769471565641,-75.4125520335355
ROC,45.45036914806233,-105.79702393816329
MLI,46.51826458140859,-71.26860629022798
ROA,25.17380326327977,-101.64789927595021
RSW,37.768682564439146,-124.3497409111821
HNL,35.43527507871947,-70.67708141484418
LIH,30.552695261768257,-119.52279939283198
MHT,27.99663418334207,-105.84118174457511
LSE,33.4403792850907,-67.9962819769517
RAP,48.572742597812976,-67.96357118374664
PVD,33.08007330051888,-90.59372671260283
CDC,37.96976554358415,-87.08976726981204
MSY,42.57547397237944,-98.09326868130081
RKS,34.09074005948235,-107.40735369811613
GCC,49.29455206802402,-105.28012727780504
SMX,49.06118237355278,-84.64889263537769
GPT,31.294557395634104,-79.8575282337392
ABQ,37.431212647309636,-77.5052573764491
CMH,32.52195774541924,-77.62291143232676
IDA,32.12101235943669,-119.52763381707858
PMD,25.92217368386332,-95.33478171784512
SAT,40.23910834949742,-121.54647439900134
COS,37.56697558072154,-92.02826706057587
SUN,26.286968781249733,-98.50816991759737
BMI,31.966161605915286,-71.73774903450202
AZO,47.70664714916634,-103.94509924687529
SBN,30.989047266674312,-117.97597901434365
SHV,28.622371802280576,-116.42049907682986
LMT,37.23631900693908,-79.30936209695167
LNK,49.641261352765014,-87.90691620102433
ITO,31.05138178778751,-118.93263943263258
MQT,41.80338868514696,-119.95359163310016
OTH,44.04049038321794,-82.9418521124528
COD,30.940938599809993,-120.63421961814839
ASE,43.205408715296485,-75.68839644257864
BIS,34.19457831798133,-82.62546637061023
KOA,40.807645764839485,-120.11907316148601
MDT,40.838242769022365,-119.90973715488849
HDN,38.394367101868966,-65.80162528992948
BTV,27.257244251360206,-102.54375225463278
ALB,45.88256238973095,-102.76147117598654
MLU,33.0195016242934,-76.23202596454985
AUS,29.662962759996354,-68.16508535696848
ANC,26.0193785388691,-65.83993617062774
ADQ,39.77232357970605,-79.7973088844635
BET,41.939109046057055,-102.42442486814505
OME,25.414695723196402,-119.98995699807988
JNU,37.802326457482025,-78.3711850443538
YAK,30.66239437994845,-91.4957450158517
ERI,41.12931976023624,-99.54667944518143
MYR,29.359160725124788,-70.61873689431584
SIT,42.27344345256165,-118.32815106163092
GSP,34.66838365751343,-95.44249374254845
TUS,48.418249718418366,-124.31878131395486
PSG,28.43802360364983,-96.88036148035242
PSP,33.52665877625646,-121.62180345908976
WRG,27.83683803101473,-117.87092502391569
HSV,48.11734045696407,-117.94842519337371
KTN,46.93348383452452,-86.04738187303619
ALO,31.44854069287889,-80.2373072440746
PHF,41.499601150854474,-89.99787409417041
PNS,45.4305550050304,-67.26964709152747
MCI,38.88002028998656,-102.50776522857775
CDV,38.24126445890016,-107.85727482308836
FAR,31.046307272511292,-72.88405230863239
BQK,27.32756919514748,-111.58424968883284
CMX,47.43039394883317,-67.20664763356332
ELP,47.51045142908326,-124.27073151861102
MGM,40.827536431831696,-66.80727039754166
CSG,33.47574477621752,-122.41040528296543
LCH,33.73023936531652,-71.53141317811574
JAC,43.14889197175599,-93.33793345482201
FCA,47.42775649881443,-65.42211223284198
ORF,47.177160606627936,-120.57220611587607
SJU,44.496888646440595,-91.76874293592076
EVV,41.05079115385719,-66.84184786285405
GUC,27.103499124876222,-93.61412934979107
RHI,29.040717852365344,-87.23608171188425
DLH,47.463854713176985,-83.25507866092298
DRO,40.16072649148975,-97.72753611393361
PFN,25.22992629041574,-87.3465151949562
JAN,27.536788571650803,-89.94114128461399
ABE,41.5875442277014,-70.93051937054065
MOB,25.126539596155467,-122.27321717951253
CLL,29.020201285437466,-108.14220862446618
SYR,38.71834473416465,-67.97531095540648
ILM,42.297379942317335,-71.58417296654503
VPS,41.29903148756502,-97.66059483285723
SRQ,30.606732736513994,-87.7920441319078
TRI,42.8044805336884,-108.35712902113204
FAY,30.931227187420003,-113.71273041657432
ROW,33.134992453981695,-97.17809570360107
GNV,43.662285127950604,-103.79886631843684
ABY,41.24082247618037,-89.98063328894767
LFT,46.23058526235445,-120.33592178210091
AMA,41.44032230750858,-66.53631154003001
CRP,39.20771508338679,-65.82735533122383
BRO,27.341869195702312,-83.11029715881529
AEX,34.19289507648584,-92.83421801935278
BGR,31.630059192043134,-106.42834302282034
MAF,31.09974108447709,-76.17229881758308
LRD,49.325263868811135,-83.91612964676725
OAJ,34.82744311666901,-115.24298363930652
SWF,47.30116387942783,-70.34436893036946
GRK,40.778465649931576,-75.64776542460986
EUG,44.870282588541215,-68.01200520248456
ELM,37.5659273276298,-81.4568294966984
OTZ,39.422597115658974,-88.19508824385261
EGE,37.3129423454716,-99.90541782256287
BIL,29.881074694951113,-69.0362909987592
BZN,43.06130288153763,-73.0361666299755
PIH,32.019309061021396,-122.28687979362863
SGU,25.607899160786346,-123.41798153016488
FAI,41.13680739767919,-102.41219798731703
BRW,29.427766985176223,-76.36680015309003
GFK,48.51146460882286,-65.76343224110333
MOT,48.84821442506468,-115.97498653378831
HLN,47.871609755511216,-89.3521570788719
TYR,34.25396750638611,-102.14654860213871
LBB,25.386415413221684,-66.80513613112382
GGG,48.20796406469313,-74.47286461185749
GJT,35.70460370793286,-74.70027771733173
ABI,49.16637047609174,-96.87841041230178
TXK,49.09049942723132,-100.1108298597401
ISP,46.325236386684,-108.59557568415762
FLO,32.361222301739645,-121.61747020094437
MEI,34.62744321504813,-73.1166574246968
SCE,46.27841678792142,-76.22593945219535
MTJ,32.923050128906944,-65.01693960283217
DAB,29.237318667152312,-65.20178977556569
EKO,38.92003156145876,-91.67409766384236
TEX,48.40386935401952,-78.86075508916937
ADK,42.400744916874324,-68.31405620705432
CHO,39.25152925223412,-74.02115655935532
LAW,27.429412344269213,-110.15911389540814
YUM,40.37518066747924,-97.96735188139439
GTF,49.75134625260658,-117.2504350909103
LWS,28.5021003809131,-67.75693836447667
HTS,37.95824130909342,-88.6295219329472
DHN,46.93432679819888,-111.28143166979224
TWF,43.51921544385511,-84.69795893564859
PSC,42.4253935248817,-87.91230557252625
MLB,42.56210209967773,-103.51023691802956
GTR,33.98727878049388,-118.18654446802226
VLD,32.33979610661233,-84.70560826443202
SCC,45.23402888696284,-93.7815379457724
STT,45.25283486697952,-78.66089649586164
BQN,46.67680796450259,-93.7901899332804
PSE,47.83101381391178,-73.8691099808876
AGS,37.783559971523445,-91.88558967353086
CPR,37.53790736717999,-91.34372170787682
EWN,44.95737947416938,-72.4007838404993
EYW,41.24909826944413,-100.79102802725617
